cause,cause.sub
Y300,Other external causes of injury
Y310,Other external causes of injury
Y320,Other external causes of injury
Y330,Other external causes of injury
Y340,Other external causes of injury
Y350,Other external causes of injury
Y351,Other external causes of injury
Y352,Other external causes of injury
Y353,Other external causes of injury
Y355,Other external causes of injury
Y356,Other external causes of injury
Y357,Other external causes of injury
Y362,Other external causes of injury
Y364,Other external causes of injury
Y366,Other external causes of injury
Y367,Other external causes of injury
Y368,Other external causes of injury
Y369,Other external causes of injury
Y400,Other external causes of injury
Y401,Other external causes of injury
Y402,Other external causes of injury
Y403,Other external causes of injury
Y404,Other external causes of injury
Y405,Other external causes of injury
Y406,Other external causes of injury
Y407,Other external causes of injury
Y408,Other external causes of injury
Y409,Other external causes of injury
Y410,Other external causes of injury
Y411,Other external causes of injury
Y412,Other external causes of injury
Y414,Other external causes of injury
Y415,Other external causes of injury
Y418,Other external causes of injury
Y419,Other external causes of injury
Y420,Other external causes of injury
Y421,Other external causes of injury
Y422,Other external causes of injury
Y423,Other external causes of injury
Y424,Other external causes of injury
Y425,Other external causes of injury
Y427,Other external causes of injury
Y428,Other external causes of injury
Y429,Other external causes of injury
Y430,Other external causes of injury
Y431,Other external causes of injury
Y433,Other external causes of injury
Y434,Other external causes of injury
Y435,Other external causes of injury
Y436,Other external causes of injury
Y439,Other external causes of injury
Y440,Other external causes of injury
Y441,Other external causes of injury
Y442,Other external causes of injury
Y443,Other external causes of injury
Y445,Other external causes of injury
Y446,Other external causes of injury
Y447,Other external causes of injury
Y449,Other external causes of injury
Y450,Other external causes of injury
Y451,Other external causes of injury
Y452,Other external causes of injury
Y453,Other external causes of injury
Y454,Other external causes of injury
Y455,Other external causes of injury
Y458,Other external causes of injury
Y459,Other external causes of injury
Y461,Other external causes of injury
Y462,Other external causes of injury
Y464,Other external causes of injury
Y465,Other external causes of injury
Y466,Other external causes of injury
Y467,Other external causes of injury
Y468,Other external causes of injury
Y470,Other external causes of injury
Y471,Other external causes of injury
Y472,Other external causes of injury
Y478,Other external causes of injury
Y479,Other external causes of injury
Y480,Other external causes of injury
Y481,Other external causes of injury
Y482,Other external causes of injury
Y483,Other external causes of injury
Y484,Other external causes of injury
Y485,Other external causes of injury
Y490,Other external causes of injury
Y491,Other external causes of injury
Y492,Other external causes of injury
Y493,Other external causes of injury
Y494,Other external causes of injury
Y495,Other external causes of injury
Y497,Other external causes of injury
Y498,Other external causes of injury
Y499,Other external causes of injury
Y509,Other external causes of injury
Y513,Other external causes of injury
Y515,Other external causes of injury
Y517,Other external causes of injury
Y518,Other external causes of injury
Y519,Other external causes of injury
Y520,Other external causes of injury
Y521,Other external causes of injury
Y522,Other external causes of injury
Y523,Other external causes of injury
Y524,Other external causes of injury
Y525,Other external causes of injury
Y526,Other external causes of injury
Y527,Other external causes of injury
Y529,Other external causes of injury
Y530,Other external causes of injury
Y531,Other external causes of injury
Y533,Other external causes of injury
Y534,Other external causes of injury
Y535,Other external causes of injury
Y536,Other external causes of injury
Y538,Other external causes of injury
Y539,Other external causes of injury
Y540,Other external causes of injury
Y543,Other external causes of injury
Y544,Other external causes of injury
Y545,Other external causes of injury
Y546,Other external causes of injury
Y548,Other external causes of injury
Y549,Other external causes of injury
Y550,Other external causes of injury
Y551,Other external causes of injury
Y552,Other external causes of injury
Y553,Other external causes of injury
Y554,Other external causes of injury
Y555,Other external causes of injury
Y556,Other external causes of injury
Y557,Other external causes of injury
Y560,Other external causes of injury
Y563,Other external causes of injury
Y564,Other external causes of injury
Y567,Other external causes of injury
Y568,Other external causes of injury
