Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US06069,6069,"San Benito County, California",55269,42002,0,42002,13267,0
0500000US06071,6071,"San Bernardino County, California",2035210,1938853,1792222,146631,96357,0
0500000US06073,6073,"San Diego County, California",3095313,2993259,2964846,28413,102054,0
0500000US06075,6075,"San Francisco County, California",805235,805235,805235,0,0,0
0500000US06077,6077,"San Joaquin County, California",685306,627241,610468,16773,58065,0
0500000US06079,6079,"San Luis Obispo County, California",269637,224887,176368,48519,44750,0
0500000US06081,6081,"San Mateo County, California",718451,704865,684152,20713,13586,0
0500000US06083,6083,"Santa Barbara County, California",423895,402626,377637,24989,21269,0
0500000US06085,6085,"Santa Clara County, California",1781642,1762335,1762335,0,19307,0
0500000US06087,6087,"Santa Cruz County, California",262382,230793,230793,0,31589,0
0500000US06089,6089,"Shasta County, California",177223,125321,117731,7590,51902,0
0500000US06091,6091,"Sierra County, California",3240,9,9,0,3231,0
0500000US06093,6093,"Siskiyou County, California",44900,15344,0,15344,29556,0
0500000US06095,6095,"Solano County, California",413344,397974,372432,25542,15370,0
0500000US06097,6097,"Sonoma County, California",483878,424102,372309,51793,59776,0
0500000US06099,6099,"Stanislaus County, California",514453,473396,433288,40108,41057,0
0500000US06101,6101,"Sutter County, California",94737,80718,72171,8547,14019,0
0500000US06103,6103,"Tehama County, California",63463,30787,0,30787,32676,0
0500000US06105,6105,"Trinity County, California",13786,0,0,0,13786,0
0500000US06107,6107,"Tulare County, California",442179,373730,289726,84004,68449,0
0500000US06109,6109,"Tuolumne County, California",55365,28255,0,28255,27110,0
0500000US06111,6111,"Ventura County, California",823318,797593,752770,44823,25725,0
0500000US06113,6113,"Yolo County, California",200849,186931,176572,10359,13918,0
0500000US06115,6115,"Yuba County, California",72155,53234,44548,8686,18921,0
0500000US08001,8001,"Adams County, Colorado",441603,425615,425615,0,15988,0
0500000US08003,8003,"Alamosa County, Colorado",15445,9751,0,9751,5694,0
0500000US08005,8005,"Arapahoe County, Colorado",572003(r39380),562992,562992,0,9011,0
0500000US08007,8007,"Archuleta County, Colorado",12084,4909,0,4909,7175,0
0500000US08009,8009,"Baca County, Colorado",3788,0,0,0,3788,0
0500000US08011,8011,"Bent County, Colorado",6499,4032,0,4032,2467,0
0500000US08013,8013,"Boulder County, Colorado",294567,268312,268312,0,26255,0
0500000US08014,8014,"Broomfield County, Colorado",55889,55563,55563,0,326,0
0500000US08015,8015,"Chaffee County, Colorado",17809,11146,0,11146,6663,0
0500000US08017,8017,"Cheyenne County, Colorado",1836,0,0,0,1836,0
0500000US08019,8019,"Clear Creek County, Colorado",9088,0,0,0,9088,0
0500000US08021,8021,"Conejos County, Colorado",8256,0,0,0,8256,0
0500000US08023,8023,"Costilla County, Colorado",3524,0,0,0,3524,0
0500000US08025,8025,"Crowley County, Colorado",5823,0,0,0,5823,0
0500000US08027,8027,"Custer County, Colorado",4255,0,0,0,4255,0
0500000US08029,8029,"Delta County, Colorado",30952,11399,0,11399,19553,0
0500000US08031,8031,"Denver County, Colorado",600158(r39385),600158,600158,0,0,0
0500000US08033,8033,"Dolores County, Colorado",2064,0,0,0,2064,0
0500000US08035,8035,"Douglas County, Colorado",285465,256098,247595,8503,29367,0
0500000US08037,8037,"Eagle County, Colorado",52197,41766,0,41766,10431,0
0500000US08039,8039,"Elbert County, Colorado",23086,0,0,0,23086,0
0500000US08041,8041,"El Paso County, Colorado",622263,566668,559360,7308,55595,0
0500000US08043,8043,"Fremont County, Colorado",46824,34453,0,34453,12371,0
0500000US08045,8045,"Garfield County, Colorado",56389,42797,0,42797,13592,0
0500000US08047,8047,"Gilpin County, Colorado",5441,0,0,0,5441,0
0500000US08049,8049,"Grand County, Colorado",14843,2583,0,2583,12260,0
0500000US08051,8051,"Gunnison County, Colorado",15324,6343,0,6343,8981,0
0500000US08053,8053,"Hinsdale County, Colorado",843,0,0,0,843,0
0500000US08055,8055,"Huerfano County, Colorado",6711,2943,0,2943,3768,0
0500000US08057,8057,"Jackson County, Colorado",1394,0,0,0,1394,0
0500000US08059,8059,"Jefferson County, Colorado",534543,497679,484123,13556,36864,0
0500000US08061,8061,"Kiowa County, Colorado",1398,0,0,0,1398,0
0500000US08063,8063,"Kit Carson County, Colorado",8270,4243,0,4243,4027,0
0500000US08065,8065,"Lake County, Colorado",7310,5039,0,5039,2271,0
0500000US08067,8067,"La Plata County, Colorado",51334,20560,0,20560,30774,0
0500000US08069,8069,"Larimer County, Colorado",299630,264692,251386,13306,34938,0
0500000US08071,8071,"Las Animas County, Colorado",15507,9181,0,9181,6326,0
0500000US08073,8073,"Lincoln County, Colorado",5467,0,0,0,5467,0
0500000US08075,8075,"Logan County, Colorado",22709,16088,0,16088,6621,0
0500000US08077,8077,"Mesa County, Colorado",146723,128124,128124,0,18599,0
0500000US08079,8079,"Mineral County, Colorado",712,0,0,0,712,0
0500000US08081,8081,"Moffat County, Colorado",13795,10021,0,10021,3774,0
0500000US08083,8083,"Montezuma County, Colorado",25535,8380,0,8380,17155,0
0500000US08085,8085,"Montrose County, Colorado",41276,22706,0,22706,18570,0
0500000US08087,8087,"Morgan County, Colorado",28159,18994,0,18994,9165,0
0500000US08089,8089,"Otero County, Colorado",18831,12352,0,12352,6479,0
0500000US08091,8091,"Ouray County, Colorado",4436,0,0,0,4436,0
0500000US08093,8093,"Park County, Colorado",16206,0,0,0,16206,0
0500000US08095,8095,"Phillips County, Colorado",4442,0,0,0,4442,0
0500000US08097,8097,"Pitkin County, Colorado",17148,9568,0,9568,7580,0
0500000US08099,8099,"Prowers County, Colorado",12551,7796,0,7796,4755,0
0500000US08101,8101,"Pueblo County, Colorado",159063,136550,136550,0,22513,0
0500000US08103,8103,"Rio Blanco County, Colorado",6666,0,0,0,6666,0
0500000US08105,8105,"Rio Grande County, Colorado",11982,4489,0,4489,7493,0
0500000US08107,8107,"Routt County, Colorado",23509,12888,0,12888,10621,0
0500000US08109,8109,"Saguache County, Colorado",6108,0,0,0,6108,0
0500000US08111,8111,"San Juan County, Colorado",699,0,0,0,699,0
0500000US08113,8113,"San Miguel County, Colorado",7359,0,0,0,7359,0
0500000US08115,8115,"Sedgwick County, Colorado",2379,0,0,0,2379,0
0500000US08117,8117,"Summit County, Colorado",27994,22530,0,22530,5464,0
0500000US08119,8119,"Teller County, Colorado",23350,8732,0,8732,14618,0
0500000US08121,8121,"Washington County, Colorado",4814,0,0,0,4814,0
0500000US08123,8123,"Weld County, Colorado",252825,201097,145693,55404,51728,0
0500000US08125,8125,"Yuma County, Colorado",10043,3524,0,3524,6519,0
0500000US09001,9001,"Fairfield County, Connecticut",916829,874801,874801,0,42028,0
0500000US09003,9003,"Hartford County, Connecticut",894014,845660,845593,67,48354,0
0500000US09005,9005,"Litchfield County, Connecticut",189927,111205,65861,45344,78722,0
0500000US09007,9007,"Middlesex County, Connecticut",165676,125019,112598,12421,40657,0
0500000US09009,9009,"New Haven County, Connecticut",862477,831083,831083,0,31394,0
0500000US09011,9011,"New London County, Connecticut",274055,203326,188041,15285,70729,0
0500000US09013,9013,"Tolland County, Connecticut",152691,94351,81075,13276,58340,0
0500000US09015,9015,"Windham County, Connecticut",118428,59497,32928,26569,58931,0
0500000US10001,10001,"Kent County, Delaware",162310,118536,108113,10423,43774,0
0500000US10003,10003,"New Castle County, Delaware",538479,513696,484281,29415,24783,0
0500000US10005,10005,"Sussex County, Delaware",197145,115717,24588,91129,81428,0
0500000US11001,11001,"District of Columbia, District of Columbia",601723(r39495),601723,601723,0,0,0
0500000US12001,12001,"Alachua County, Florida",247336,194917,187781,7136,52419,0
0500000US12003,12003,"Baker County, Florida",27115,10984,0,10984,16131,0
0500000US12005,12005,"Bay County, Florida",168852,148590,142773,5817,20262,0
0500000US12007,12007,"Bradford County, Florida",28520,6979,0,6979,21541,0
0500000US12009,12009,"Brevard County, Florida",543376,515803,515803,0,27573,0
