"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,45,2005,"44",40782,40535,247,0.605659359521357
1,45,2005,"45",152918,153399,481,0.314547666069397
1,45,2005,"46",29476,29462,14,0.0474962681503596
1,45,2005,"47",219048,220298,1250,0.570651181476206
1,45,2005,"48",821865,821256,609,0.0740997609096384
1,45,2005,"49",76175,74543,1632,2.14243518214637
1,45,2005,"50",25846,25778,68,0.263096804147644
1,45,2005,"51",291101,292109,1008,0.346271568974342
1,45,2005,"53",247650,245857,1793,0.724005653139511
1,45,2005,"54",69552,70005,453,0.651311249137336
1,45,2005,"55",221539,221338,201,0.0907289461449226
1,45,2005,"56",21230,21567,337,1.58737635421573
1,50,2005,"01",150390,152630,2240,1.48946073542124
1,50,2005,"02",26365,27567,1202,4.55907453062773
1,50,2005,"04",174100,173163,937,0.53819643882826
1,50,2005,"05",88753,89936,1183,1.33291269027526
1,50,2005,"06",1124308,1128235,3927,0.349281513606592
1,50,2005,"08",165146,166208,1062,0.643067346469185
1,50,2005,"09",122093,122056,37,0.0303047676770986
1,50,2005,"10",26846,27061,215,0.800864188333458
1,50,2005,"11",17428,17376,52,0.298370438375029
1,50,2005,"12",560177,567060,6883,1.22871877995705
1,50,2005,"13",283825,279442,4383,1.54426142869726
1,50,2005,"15",44114,46810,2696,6.11143854558644
1,50,2005,"16",47607,47735,128,0.268868023609973
1,50,2005,"17",416127,414128,1999,0.480382191013801
1,50,2005,"18",212718,213408,690,0.324373113699828
1,50,2005,"19",105467,105712,245,0.232300150758057
1,50,2005,"20",94090,94618,528,0.561164842172388
1,50,2005,"21",142826,144179,1353,0.947306512819795
1,50,2005,"22",147766,151974,4208,2.84774576018841
1,50,2005,"23",50939,50866,73,0.143308663303167
1,50,2005,"24",187610,188060,450,0.239859282554235
1,50,2005,"25",217636,217385,251,0.115330184344502
1,50,2005,"26",352361,351601,760,0.215687888273674
1,50,2005,"27",181570,180734,836,0.460428484881864
1,50,2005,"28",91888,92723,835,0.90871495733937
1,50,2005,"29",191814,193133,1319,0.687645323073394
1,50,2005,"30",37402,37578,176,0.470563071493503
1,50,2005,"31",59917,60189,272,0.453961313149857
1,50,2005,"32",78637,80038,1401,1.78160407950456
1,50,2005,"33",48959,48897,62,0.126636573459425
1,50,2005,"34",290823,288211,2612,0.898140793541089
1,50,2005,"35",62299,64790,2491,3.99845904428643
1,50,2005,"36",631234,626440,4794,0.759464794355184
